ID, Stage
1,1
2,2
3,1
4,2
5,3
6,4
7,3
8,4
9,4
10,4
11,4
12,1
13,1
14,3
15,3
16,1
17,3
18,4
19,4
20,4
21,1
22,2
23,2
24,2
25,3
26,2
27,4
28,4
29,4
30,4
31,3
32,1
33,4
34,4
35,3
36,3
37,4
38,3
39,3
40,2
41,4
42,3
43,2
44,2
45,3
46,3
47,4
48,3
49,3
50,2
51,4
52,4
53,2
54,2
55,2
56,3
57,4
58,1
59,4
60,1
61,3
62,2
63,2
64,3
65,3
66,4
67,4
68,4
69,3
70,3
71,3
72,4
73,3
74,3
75,3
76,2
77,2
78,4
79,4
80,3
81,3
82,3
83,2
84,2
85,2
86,4
87,3
88,4
89,4
90,3
91,4
92,4
93,3
94,4
95,3
96,3
97,4
98,3
99,4
100,2
101,2
102,3
103,2
104,2
105,3
106,2
107,2
108,4
109,3
110,4
111,4
112,4
113,3
114,2
115,4
116,2
117,2
118,4
119,4
120,3
121,4
122,4
123,4
124,3
125,1
126,2
127,2
128,4
129,3
130,2
131,4
132,2
133,4
134,4
135,4
136,4
137,3
138,3
139,4
140,2
141,2
142,3
143,2
144,2
145,2
146,3
147,4
148,4
149,4
150,3
151,4
152,4
153,4
154,3
155,4
156,2
157,4
158,4
159,2
160,3
161,4
162,2
163,2
164,3
165,3
166,3
167,4
168,4
169,4
170,3
171,2
172,1
173,3
174,3
175,4
176,3
177,3
178,4
179,2
180,3
181,3
182,2
183,3
184,4
185,4
186,2
187,4
188,2
189,3
190,3
191,1
192,4
193,4
194,1
195,4
196,2
197,3
198,4
199,4
200,3
201,2
202,3
203,2
204,4
205,2
206,3
207,3
208,4
209,3
210,2
211,3
212,4
213,3
214,2
215,4
216,4
217,3
218,3
219,3
220,4
221,3
222,4
223,3
224,4
225,3
226,4
227,4
228,4
229,3
230,3
231,3
232,4
233,3
234,4
235,3
236,4
237,3
238,3
239,2
240,2
241,3
242,3
243,3
244,3
245,2
246,3
247,4
248,4
249,3
250,2
251,3
252,4
253,4
254,2
255,2
256,2
257,3
258,1
259,2
260,3
261,3
262,4
263,3
264,3
265,4
266,4
267,2
268,3
269,3
270,3
271,3
272,4
273,4
274,2
275,3
276,3
277,3
278,3
279,3
280,4
281,4
282,2
283,3
284,4
285,1
286,3
287,3
288,2
289,3
290,4
291,3
292,4
293,4
294,4
295,3
296,3
297,4
298,2
299,2
300,4
301,3
302,3
303,4
304,2
305,2
306,4
307,3
308,4
309,3
310,3
311,3
312,3
313,3
314,1
315,3
316,4
317,2
318,3
319,4
320,3
321,2
322,2
323,4
324,3
325,1
326,4
327,3
328,4
329,2
